Factor Analysis - Principal Component Extraction,,,,,,,,,
,,,,,,,,,
Descriptive statistics,,,,,,,,,
,,,,,,,,,
,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds,,
Mean,81.00,60.33,141.33,1414.00,38.33,11.66666667,133.7777778,,
Std dev,3.39,13.43,12.85,428.94,2.60,5.958187644,56.38656262,,
Skewness,-0.54,1.21,1.57,-0.89,-0.80,1.125549886,-0.409816147,,
Kurtosis,-1.13,2.85,3.79,-0.30,1.59,1.209453907,-1.470435924,,
,,,,,,,,,
Correlation Matrix,,,,,,,,,
,,,,,,,,,
,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds,,
hospitalized_covid_confirmed_patients,1,-0.293769858,-0.043043778,-0.446600958,0.766130878,-0.222714974,-0.281749233,,
hospitalized_suspected_covid_patients,-0.293769858,1,0.967635226,-0.409959729,-0.494537895,0.911017573,-0.520179538,,
hospitalized_covid_patients,-0.043043778,0.967635226,1,-0.546389696,-0.314626602,0.893390213,-0.61806929,,
all_hospital_beds,-0.446600958,-0.409959729,-0.546389696,1,-0.276042264,-0.330341194,0.880668317,,
icu_covid_confirmed_patients,0.766130878,-0.494537895,-0.314626602,-0.276042264,1,-0.532951741,-0.027588811,,
icu_suspected_covid_patients,-0.222714974,0.911017573,0.893390213,-0.330341194,-0.532951741,1,-0.588484703,,
icu_available_beds,-0.281749233,-0.520179538,-0.61806929,0.880668317,-0.027588811,-0.588484703,1,,
,1.003547024,2.535793139,2.515858016,1.626962416,1.291512184,2.41717816,1.854631102,13.24548204,
,,,,,,,,,
Inverse of Correlation Matrix,,,,,,,,,
,,,,,,,,,
,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds,,sqrt(diag)
hospitalized_covid_confirmed_patients,-3.00316E+14,-1.18896E+15,1.13755E+15,5.220783663,-2.364461752,-5.684696136,-4.281629661,,#NUM!
hospitalized_suspected_covid_patients,-1.18896E+15,-4.70712E+15,4.5036E+15,19.09872399,-0.158670886,-20.5476687,-17.93047148,,#NUM!
hospitalized_covid_patients,1.13755E+15,4.5036E+15,-4.30888E+15,0.198017287,-1.240547267,-3.814043642,0.150391304,,#NUM!
all_hospital_beds,5.936457815,21.93209893,-2.512850795,22.66001242,-0.255354312,-21.45953976,-21.06350519,,4.760253398
icu_covid_confirmed_patients,-2.253664475,0.27997878,-1.660231002,-0.255354312,3.974780451,3.159468579,0.678374045,,1.993685144
icu_suspected_covid_patients,-6.478309161,-23.68960592,-0.807954611,-21.45953976,3.159468579,29.07914066,21.45105337,,5.392507827
icu_available_beds,-5.036264333,-20.91809226,3.008836086,-21.06350519,0.678374045,21.45105337,21.75183598,,4.66388636
,,,,,,,,,
Partial Correlation Matrix,,,,,,,,,
,,,,,,,,,
,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds,,
hospitalized_covid_confirmed_patients,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,
hospitalized_suspected_covid_patients,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,
hospitalized_covid_patients,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,
